source_id,title,domain,provider,source_url,rights_tier,access_tier,priority
prog_python_core,Python Official Documentation,programming_python,Python Software Foundation,https://docs.python.org/3/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_python_django,Django Official Documentation,programming_python,Django Software Foundation,https://docs.djangoproject.com/en/stable/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_python_fastapi,FastAPI Official Documentation,programming_python,FastAPI,https://fastapi.tiangolo.com/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_python_flask,Flask Official Documentation,programming_python,Pallets,https://flask.palletsprojects.com/en/stable/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_php_core,PHP Manual,programming_php,PHP Documentation Group,https://www.php.net/manual/en/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_php_laravel,Laravel Official Documentation,programming_php,Laravel,https://github.com/laravel/docs/tree/13.x,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_php_filament,Filament Official Documentation,programming_php,Filament,https://github.com/filamentphp/filament/tree/5.x,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_php_symfony,Symfony Official Documentation,programming_php,Symfony,https://symfony.com/doc/current/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_php_composer,Composer Official Documentation,programming_php,Composer,https://getcomposer.org/doc/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_js_ecmascript,ECMAScript Language Specification,programming_javascript_typescript,TC39,https://tc39.es/ecma262/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_ts_core,TypeScript Official Documentation,programming_javascript_typescript,Microsoft TypeScript,https://www.typescriptlang.org/docs/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_js_node,Node.js API Documentation,programming_javascript_typescript,OpenJS Foundation,https://nodejs.org/api/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_js_react,React Official Documentation,programming_javascript_typescript,React,https://react.dev/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_js_next,Next.js Official Documentation,programming_javascript_typescript,Vercel,https://nextjs.org/docs,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_ts_nest,NestJS Official Documentation,programming_javascript_typescript,NestJS,https://docs.nestjs.com/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_js_vue,Vue.js Official Documentation,programming_javascript_typescript,Vue.js,https://vuejs.org/guide/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_js_nuxt,Nuxt Official Documentation,programming_javascript_typescript,Nuxt,https://nuxt.com/docs/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_ts_angular,Angular Official Documentation,programming_javascript_typescript,Google Angular,https://angular.dev/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_js_svelte,Svelte Official Documentation,programming_javascript_typescript,Svelte,https://svelte.dev/docs,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_js_express,Express Official Documentation,programming_javascript_typescript,OpenJS Foundation,https://expressjs.com/en/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_js_deno,Deno Official Documentation,programming_javascript_typescript,Deno,https://docs.deno.com/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_js_bun,Bun Official Documentation,programming_javascript_typescript,oven-sh,https://bun.sh/docs,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_go_core,Go Official Documentation,programming_go,Go Project,https://go.dev/doc/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_go_stdlib,Go Standard Library Documentation,programming_go,Go Project,https://pkg.go.dev/std,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_rust_core,Rust Stable Documentation,programming_rust,Rust Project,https://doc.rust-lang.org/stable/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_rust_std,Rust Standard Library,programming_rust,Rust Project,https://doc.rust-lang.org/stable/std/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_rust_cargo,Cargo Book and Reference,programming_rust,Rust Project,https://doc.rust-lang.org/cargo/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_java_core,JDK 26 Official Documentation,programming_java,Oracle,https://docs.oracle.com/en/java/javase/26/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_java_spring,Spring Framework Official Documentation,programming_java,VMware Spring,https://docs.spring.io/spring-framework/reference/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_java_springboot,Spring Boot Official Documentation,programming_java,VMware Spring,https://docs.spring.io/spring-boot/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_java_maven,Apache Maven Official Documentation,programming_java,Apache Software Foundation,https://maven.apache.org/guides/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_jvm_gradle,Gradle Official User Manual,programming_java,Gradle,https://docs.gradle.org/current/userguide/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_dotnet_csharp,C# Official Documentation,programming_csharp_dotnet,Microsoft,https://learn.microsoft.com/en-us/dotnet/csharp/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_dotnet_api,.NET API Documentation,programming_csharp_dotnet,Microsoft,https://learn.microsoft.com/en-us/dotnet/api/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_dotnet_aspnet,ASP.NET Core Official Documentation,programming_csharp_dotnet,Microsoft,https://learn.microsoft.com/en-us/aspnet/core/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_kotlin_core,Kotlin Official Documentation,programming_kotlin,JetBrains,https://kotlinlang.org/docs/home.html,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_swift_core,The Swift Programming Language,programming_swift,Swift Project,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_dart_core,Dart Official Documentation,programming_dart,Dart Project,https://dart.dev/docs,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_dart_api,Dart API Reference,programming_dart,Dart Project,https://api.dart.dev/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_dart_flutter,Flutter Official Documentation,programming_dart,Flutter Project,https://docs.flutter.dev/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_dart_flutter_api,Flutter API Reference,programming_dart,Flutter Project,https://api.flutter.dev/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
prog_ruby_core,Ruby Official Documentation,programming_ruby,Ruby Project,https://docs.ruby-lang.org/en/4.0/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P1
prog_ruby_rails,Ruby on Rails Official Guides,programming_ruby,Ruby on Rails,https://guides.rubyonrails.org/,C_PUBLIC_LOCAL_INGEST,OPEN_PUBLIC,P2
